Sample size n,Kn
10,2.036
11,2.088
12,2.134
13,2.175
14,2.213
15,2.247
16,2.279
17,2.309
18,2.335
19,2.361
20,2.385
21,2.408
22,2.429
23,2.448
24,2.467
25,2.486
26,2.502
27,2.519
28,2.534
29,2.549
30,2.563
31,2.577
32,2.591
33,2.604
34,2.616
35,2.628
36,2.639
37,2.65
38,2.661
39,2.671
40,2.682
41,2.692
42,2.7
43,2.71
44,2.719
45,2.727
46,2.736
47,2.744
48,2.753
49,2.76
50,2.768
55,2.804
60,2.837
65,2.866
70,2.893
75,2.917
80,2.94
85,2.961
90,2.981
95,3
100,3.017
110,3.049
120,3.078
130,3.104
140,3.129
141,3.131
